timestamp x y
1606391913755 566577.70127708814 5932830.0667791618
1606391914335 566577.21998224361 5932829.9341335744
1606391915015 566576.70152732241 5932829.7560107661
1606391915585 566576.18824460125 5932829.6047128746
1606391916215 566575.65164701571 5932829.4243678832
1606391916755 566575.10636130802 5932829.2717680642
1606391917405 566574.54289571347 5932829.1021007793
1606391917905 566574.00284798048 5932828.9661946977
1606391918555 566573.45539678761 5932828.8107248833
1606391919025 566572.92793496675 5932828.6792938532
1606391919645 566572.36169732013 5932828.4953395827
1606391920155 566571.77379953698 5932828.3324034596
1606391920765 566571.20979163749 5932828.1698844293
1606391921305 566570.6603899186 5932828.0428595403
1606391921895 566570.093737024 5932827.8634612123
1606391922395 566569.57542979531 5932827.6918714643
1606391922995 566569.04000068828 5932827.4915631926
1606391923495 566568.51211806899 5932827.3584507518
1606391924085 566567.95578129101 5932827.171378118
1606391924575 566567.35247747658 5932827.0190515229
1606391925185 566566.74995939573 5932826.8222484579
1606391925685 566566.10590589093 5932826.6370708561
1606391926305 566565.48303326929 5932826.422374391
1606391926845 566564.85625724308 5932826.2585944748
1606391927435 566564.18759384612 5932826.0247202497
1606391927965 566563.55236846989 5932825.873214866
1606391928515 566562.92104119435 5932825.6749278065
1606391929065 566562.2378373167 5932825.4824774368
1606391929595 566561.56855627242 5932825.2392477356
1606391930125 566560.86609475152 5932825.0559391659
1606391930665 566560.17407421302 5932824.8142550029
1606391931175 566559.44596197072 5932824.6264777128
1606391931735 566558.75349693932 5932824.396788206
1606391932245 566557.99300416955 5932824.2203801097
1606391932815 566557.28041069175 5932824.0140053667
1606391933365 566556.55444320489 5932823.8762164079
1606391933915 566555.8472690077 5932823.6850619735
1606391934445 566554.98991297849 5932823.518849113
1606391934945 566554.21326564427 5932823.3091589054
1606391935485 566553.4013025529 5932823.1567726014
1606391935995 566552.62763648643 5932822.9615773512
1606391936515 566551.78817340371 5932822.7880035592
1606391937055 566551.02412446868 5932822.5684002684
1606391937585 566550.23337957065 5932822.4247895144
1606391938135 566549.49029599817 5932822.2099227421
1606391938575 566548.6708777796 5932822.0501573952
1606391939185 566547.88597011729 5932821.8513826979
1606391939705 566547.07828848204 5932821.7373770429
1606391940285 566546.32841420756 5932821.5787669271
1606391940855 566545.56454088853 5932821.4786675982
1606391941415 566544.83155209874 5932821.340350789
1606391941945 566544.15266703814 5932821.4041790357
1606391942565 566543.69808311958 5932821.7955038296
1606391943115 566543.52698599012 5932822.2990178578
1606391943675 566543.4934668527 5932822.8120259801
1606391944235 566543.60622881399 5932823.366539889
1606391944895 566543.7253216625 5932823.9649136066
1606391945445 566543.91105814895 5932824.557771815
1606391945995 566544.04255603894 5932825.1288169837
1606391946495 566544.22471770982 5932825.7274373965
1606391947105 566544.383524884 5932826.2904519541
1606391947735 566544.57410142641 5932826.8309445214
1606391948285 566544.78976701642 5932827.4035231872
1606391948785 566545.05373057001 5932827.9330581538
1606391949415 566545.3781089728 5932828.3792022131
1606391949965 566545.84561268112 5932828.6306628464
1606391950575 566546.40756948164 5932828.7989952303
1606391951045 566547.0036623514 5932828.9155289624
1606391951645 566547.62819966371 5932829.0644974858
1606391952185 566548.2408125581 5932829.1753808083
1606391952755 566548.8604512501 5932829.3191375909
1606391953315 566549.4989893015 5932829.4525725581
1606391953845 566550.09124162502 5932829.5972228954
1606391954345 566550.67094978376 5932829.7109327046
1606391954925 566551.24280075799 5932829.8361463323
1606391955455 566551.8043170335 5932829.9254221972
1606391956035 566552.43175235344 5932830.0855979836
1606391956515 566553.09265089734 5932830.2116926592
1606391957075 566553.70796761522 5932830.3600879638
1606391957575 566554.32645325398 5932830.4883343317
1606391958175 566554.9598414785 5932830.6233806117
1606391958685 566555.52345066622 5932830.7277976768
1606391959255 566556.08960553992 5932830.8680523932
1606391959745 566556.64245358261 5932830.9537261203
1606391960325 566557.21715626179 5932831.0864879247
1606391960825 566557.81643608375 5932831.1909952639
1606391961365 566558.42269044707 5932831.3147325739
1606391961875 566558.97907099978 5932831.3944539418
1606391962425 566559.54103544564 5932831.508906371
1606391962925 566560.11232443608 5932831.6330364021
1606391963485 566560.7061413459 5932831.7836346794
1606391963965 566561.3315186887 5932831.9075615956
1606391964535 566561.94210399489 5932832.0468443893
1606391965045 566562.54547070805 5932832.1367350454
1606391965575 566563.14688739541 5932832.2728890926
1606391966075 566563.77029767132 5932832.3716840521
1606391966625 566564.39853193564 5932832.486087922
1606391967175 566565.01517240785 5932832.5934791602
1606391967725 566565.61978601164 5932832.7110723974
1606391968245 566566.25530726649 5932832.7854860611
1606391968765 566566.89479761932 5932832.8866070919
1606391969265 566567.51869848382 5932832.9255490294
1606391969795 566568.14151035878 5932833.0086390851
1606391970285 566568.75700920972 5932833.0328794876
1606391970945 566569.32563528535 5932832.8899963396
1606391971375 566569.67814672168 5932832.4724362781
1606391971975 566569.75551513897 5932831.9117975403
1606391972475 566569.64652817615 5932831.3427840294
1606391973085 566569.48192470265 5932830.7617101921
1606391973575 566569.25456868811 5932830.2261748007
1606391974225 566569.04398924566 5932829.678779087
1606391974735 566568.79401850805 5932829.1642981619
1606391975305 566568.57658898004 5932828.5912242448
1606391975845 566568.38019959768 5932828.0562357763
1606391976465 566568.29311149591 5932827.4773954367
1606391976995 566568.35695746273 5932827.0158494394
1606391977575 566568.78625825571 5932826.6683068834
1606391978055 566569.30911069666 5932826.5058693411
1606391978675 566569.80821425258 5932826.5622237204
1606391979235 566570.33998532745 5932826.6728637815
1606391979845 566570.93247412902 5932826.8316610735
1606391980285 566571.52204130613 5932826.9490230428
1606391980905 566572.12844757224 5932827.1181521146
1606391981475 566572.71361559595 5932827.2523419484
1606391981975 566573.3094530144 5932827.3965622336
1606391982485 566573.95063716685 5932827.4954833919
1606391983035 566574.54189354402 5932827.6116904961
1606391983565 566575.14785818534 5932827.6989420597
1606391984115 566575.77893305593 5932827.8143627187
1606391984605 566576.44079576619 5932827.8990759375
1606391985145 566577.11743118882 5932828.0432793954
1606391985635 566577.80222149403 5932828.1671752483
1606391986185 566578.47372978949 5932828.3072091704
1606391986715 566579.13842259394 5932828.3850399004
1606391987235 566579.81438014132 5932828.5043256907
1606391987695 566580.45524410647 5932828.5763988988
1606391988265 566581.08420445863 5932828.6939605298
1606391988745 566581.72762216209 5932828.7762063397
1606391989345 566582.371525825 5932828.898359946
1606391989795 566583.03539413062 5932828.9758713888
1606391990345 566583.77106758405 5932829.1180159925
1606391990825 566584.44644105784 5932829.2066985853
1606391991405 566585.09459816536 5932829.3112479523
1606391991845 566585.71287863341 5932829.3537267875
1606391992395 566586.41837596137 5932829.4813566776
1606391992865 566587.16118489893 5932829.5596913407
1606391993405 566587.84500526881 5932829.7021607747
1606391993955 566588.5487344563 5932829.8173859483
1606391994475 566589.17151981476 5932829.944708107
1606391994905 566589.76180567837 5932830.0302649494
1606391995475 566590.42025483714 5932830.1752105365
1606391995985 566591.17745426809 5932830.2823165627
1606391996515 566591.85972620791 5932830.4322402189
1606391996975 566592.58958479157 5932830.5463825017
1606391997575 566593.24053765868 5932830.7141646482
1606391998055 566593.84532619873 5932830.8574922215
1606391998675 566594.255413629 5932831.2179670688
1606391999205 566594.39908586314 5932831.7309703119
1606391999775 566594.16382794059 5932832.2396594491
1606392000415 566593.7280404584 5932832.5216778079
1606392000915 566593.23368124815 5932832.6390775992
1606392001455 566592.70576650242 5932832.7656920934
1606392001995 566592.12309272552 5932832.8674876569
1606392002605 566591.49962152378 5932833.0163182942
1606392003085 566590.88091811561 5932833.1014729068
1606392003565 566590.22499632707 5932833.2487688046
1606392004135 566589.56789843587 5932833.3593281144
1606392004625 566588.90957895783 5932833.5145130772
1606392005165 566588.25502583513 5932833.6470365133
1606392005675 566587.60729583236 5932833.8258964261
1606392006205 566586.90787176986 5932833.9564923942
1606392006695 566586.27163920738 5932834.1040343745
1606392007215 566585.61992505065 5932834.250546962
1606392007675 566585.02540085651 5932834.420194325
1606392008245 566584.47759561636 5932834.5460691415
1606392008725 566583.93512492359 5932834.7012098115
1606392009285 566583.31257773179 5932834.8418836221
1606392009735 566582.71405678929 5932835.0125355404
1606392010285 566582.08825454267 5932835.1387696313
1606392010775 566581.42319578771 5932835.3072067406
1606392011285 566580.70431133697 5932835.4508603439
1606392011775 566580.05902949593 5932835.5880152835
1606392012275 566579.427985691 5932835.6725893859
1606392012795 566578.80512381345 5932835.7888645791
1606392013385 566578.17643214145 5932835.8593630111
1606392013905 566577.57137930533 5932835.9022941533
1606392014465 566576.97954411723 5932835.7189253513
1606392014945 566576.38616749167 5932835.417405487
1606392015495 566575.92280528869 5932835.0098921116
1606392016035 566575.44397824747 5932834.6307837814
1606392016585 566574.96949735063 5932834.1907619294
1606392017105 566574.45754559932 5932833.7632750319
1606392017585 566573.98825228459 5932833.3084980389
1606392018125 566573.43807920662 5932832.8510737773
1606392018655 566572.91052644467 5932832.3555087904
1606392019115 566572.37584483577 5932831.8917437484
1606392019695 566571.81774206564 5932831.3785593659
1606392020235 566571.27080355864 5932830.9239205802
1606392020725 566570.7766210034 5932830.4636135353
1606392021265 566570.2621200555 5932830.0082355877
1606392021825 566569.81926456455 5932829.546473383
1606392022285 566569.37050816184 5932829.1458136532
1606392022905 566568.95313945203 5932828.7057880135
1606392023465 566568.59514249139 5932828.1834787074
1606392024015 566568.62476966355 5932827.5973940715
1606392024505 566568.84610188019 5932826.9989085365
1606392025095 566569.34383342206 5932826.6246530432
1606392025555 566569.88209704962 5932826.3836435284
1606392026135 566570.42816346011 5932826.3944333987
1606392026725 566571.04844392417 5932826.4552932959
1606392027215 566571.62620591687 5932826.5688665956
1606392027775 566572.19146910275 5932826.638671373
1606392028355 566572.77063291182 5932826.7595168203
1606392028865 566573.4087621019 5932826.869994835
1606392029385 566574.04323912296 5932827.0132163567
1606392029925 566574.6642870272 5932827.1295463154
1606392030515 566575.2284868852 5932827.265892473
1606392030985 566575.77242060227 5932827.3442660207
1606392031655 566576.26619109791 5932827.4633438066
1606392032335 566576.66952358652 5932827.5094657876


