x y
566630.144697020528838 5932863.62874738778919 
566556.785574977402575 5932861.141997488215566 
566574.305858362000436 5932829.153351049870253
566632.744481006753631 5932834.465953108854592
566536.77854169299826 5932826.892669323831797 
